-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.012,  0.115
-183.800, 80.199, 0.029,  0.148
-183.800, 80.198, 0.028,  0.181
-183.800, 80.197, 0.031,  0.214
-183.800, 80.194, 0.100,  0.247
-183.798, 80.187, 0.210,  0.280
-183.795, 80.177, 0.322,  0.313
-183.791, 80.162, 0.454,  0.346
-183.785, 80.144, 0.546,  0.379
-183.775, 80.121, 0.726,  0.412
-183.761, 80.093, 0.885,  0.445
-183.742, 80.059, 1.029,  0.478
-183.719, 80.022, 1.153,  0.511
-183.694, 79.981, 1.302,  0.544
-183.667, 79.936, 1.459,  0.577
-183.639, 79.886, 1.588,  0.610
-183.611, 79.834, 1.689,  0.643
-183.582, 79.780, 1.758,  0.676
-183.554, 79.724, 1.799,  0.709
-183.525, 79.669, 1.816,  0.742
-183.497, 79.613, 1.816,  0.775
-183.469, 79.558, 1.803,  0.808
-183.440, 79.505, 1.781,  0.841
-183.412, 79.452, 1.754,  0.874
-183.384, 79.400, 1.723,  0.907
-183.356, 79.350, 1.693,  0.940
-183.329, 79.301, 1.663,  0.973
-183.301, 79.252, 1.636,  1.006
-183.273, 79.204, 1.612,  1.039
-183.246, 79.158, 1.594,  1.072
-183.218, 79.111, 1.581,  1.105
-183.191, 79.065, 1.574,  1.138
-183.163, 79.019, 1.573,  1.171
-183.135, 78.973, 1.577,  1.204
-183.107, 78.927, 1.586,  1.237
-183.078, 78.881, 1.598,  1.270
-183.049, 78.834, 1.612,  1.303
-183.021, 78.787, 1.628,  1.336
-182.992, 78.739, 1.645,  1.369
-182.962, 78.691, 1.658,  1.402
-182.933, 78.643, 1.668,  1.435
-182.904, 78.595, 1.677,  1.468
-182.875, 78.546, 1.686,  1.501
-182.845, 78.498, 1.693,  1.534
-182.816, 78.449, 1.699,  1.567
-182.786, 78.400, 1.705,  1.600
-182.757, 78.350, 1.710,  1.633
-182.727, 78.301, 1.714,  1.666
-182.698, 78.252, 1.717,  1.699
-182.669, 78.202, 1.720,  1.732
